date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:56	123344/123344	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2014:13:47%20GMT	https://www.dominos.com/cms/assets/f0103005-ab83-450f-841e-29a61f0886ed?modified_on=2024-07-29T12%3A34%3A57.331Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/f0103005-ab83-450f-841e-29a61f0886eda62d.png	(from https://www.dominos.com/menu/specialty)
18:51:59	157551/157551	---MCZ	200	added ('OK')	text/html	etag:%224j7h41zgdv1t4q%22	https://www.dominos.com/menu/specialty/S_PIZPH/philly_cheese_steak	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PIZPH/philly_cheese_steak.html	(from https://www.dominos.com/menu/specialty)
18:51:59	122619/122619	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:55:34%20GMT	https://www.dominos.com/cms/assets/790a8630-81d5-45df-b7f2-7bd501858638?modified_on=2024-07-29T12%3A34%3A55.261Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/790a8630-81d5-45df-b7f2-7bd5018586387e8e.png	(from https://www.dominos.com/menu/specialty)
18:52:01	157527/157527	---MCZ	200	added ('OK')	text/html	etag:%22243hsc9smp1t49%22	https://www.dominos.com/menu/specialty/S_PIZPV/pacific_veggie	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PIZPV/pacific_veggie.html	(from https://www.dominos.com/menu/specialty)
18:52:01	126634/126634	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2014:13:51%20GMT	https://www.dominos.com/cms/assets/1fba5036-f10d-4ced-bbfc-793d86a05974?modified_on=2024-07-29T12%3A34%3A53.873Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/1fba5036-f10d-4ced-bbfc-793d86a05974dc7f.png	(from https://www.dominos.com/menu/specialty)
18:52:03	120751/120751	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:55:36%20GMT	https://www.dominos.com/cms/assets/ecc77cc0-1a5c-40bc-8370-a439890e43a1?modified_on=2024-07-29T12%3A34%3A55.266Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/ecc77cc0-1a5c-40bc-8370-a439890e43a10b79.png	(from https://www.dominos.com/menu/specialty)
18:52:03	157592/157592	---MCZ	200	added ('OK')	text/html	etag:%2211yrx5o0gt01t5v%22	https://www.dominos.com/menu/specialty/S_PIZPX/ultimate_pepperoni	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PIZPX/ultimate_pepperoni.html	(from https://www.dominos.com/menu/specialty)
18:52:06	123160/123160	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2014:13:52%20GMT	https://www.dominos.com/cms/assets/d51e9b0f-2a48-4b24-b13b-2009398aa8ec?modified_on=2024-07-29T12%3A34%3A55.936Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/d51e9b0f-2a48-4b24-b13b-2009398aa8ec3e91.png	(from https://www.dominos.com/menu/specialty)
18:52:06	157579/157579	---MCZ	200	added ('OK')	text/html	etag:%22gab0nwchey1t5g%22	https://www.dominos.com/menu/specialty/S_PIZCK/memphis_bbq_chicken	C:/Aali/dominos/www.dominos.com/menu/specialty/S_PIZCK/memphis_bbq_chicken.html	(from https://www.dominos.com/menu/specialty)
18:52:08	115154/115154	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Dec%202024%2014:13:52%20GMT	https://www.dominos.com/cms/assets/ee8f576a-be35-4586-8c13-0422fd222372?modified_on=2024-07-29T12%3A34%3A51.247Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/ee8f576a-be35-4586-8c13-0422fd2223729a06.png	(from https://www.dominos.com/menu/specialty)
